external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
313,Queso Camembert,Lacteos,,Lacteos,100,g,287,20.1,0,23,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/313.htm
314,Queso mozarella,Lacteos,,Lacteos,100,g,282,23.6,3.3,19.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/314.htm
315,Queso cremoso,Lacteos,,Lacteos,100,g,302,19.7,4.2,22.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/315.htm
316,Queso cuartirolo,Lacteos,,Lacteos,100,g,291,20.8,3.9,21.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/316.htm
317,Queso doble crema,Lacteos,,Lacteos,100,g,260,18,0,20.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/317.htm
318,Queso Limburgués,Lacteos,,Lacteos,100,g,324,21.8,0.02,26.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/318.htm
319,Queso Por Salut,Lacteos,,Lacteos,100,g,301,20.4,3.7,22.7,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/319.htm
32,"Trigo, harina tres cero",Cereales y tuberculos,,Cereales y tuberculos,100,g,340,10.3,68.7,2.7,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/32.htm
320,Queso Cheddar,Lacteos,,Lacteos,100,g,357,29.5,0.12,26.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/320.htm
321,Queso Chubut,Lacteos,,Lacteos,100,g,328,25.9,0.08,24.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/321.htm
322,Queso Fontina,Lacteos,,Lacteos,100,g,340,24.3,0,33.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/322.htm
323,Queso Gorgonzola,Lacteos,,Lacteos,100,g,480,21.6,0.07,43.7,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/323.htm
324,Queso Gruyere,Lacteos,,Lacteos,100,g,379,28.6,0,29.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/324.htm
325,Queso Holanda,Lacteos,,Lacteos,100,g,345,25.1,0,27.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/325.htm
326,Queso Pategrás,Lacteos,,Lacteos,100,g,410,24.8,0.08,34.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/326.htm
327,Queso Roquefort,Lacteos,,Lacteos,100,g,426,19.2,0,38.8,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/327.htm
328,Queso Suizo,Lacteos,,Lacteos,100,g,404,28.6,1.9,31.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/328.htm
329,Queso Tafí,Lacteos,,Lacteos,100,g,358,21.8,0,30.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/329.htm
33,"Trigo, harina cuatro ceros",Cereales y tuberculos,,Cereales y tuberculos,100,g,348,10.2,70.8,2.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/33.htm
330,Queso Tandil,Lacteos,,Lacteos,100,g,345,25.5,0,27,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/330.htm
331,Queso tipo Mar del Plata,Lacteos,,Lacteos,100,g,332,25.4,0,25.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/331.htm
332,Queso Goya,Lacteos,,Lacteos,100,g,402,29.7,0,31.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/332.htm
333,Queso Parmesano,Lacteos,,Lacteos,100,g,350,32.7,0,24.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/333.htm
334,Queso Provolone,Lacteos,,Lacteos,100,g,391,32.1,0,29.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/334.htm
335,Queso Reggianito,Lacteos,,Lacteos,100,g,365,33.4,3.4,24.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/335.htm
336,Queso Sardo,Lacteos,,Lacteos,100,g,402,30,5,29.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/336.htm
337,Queso Sbrinz,Lacteos,,Lacteos,100,g,357,29.4,0,26.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/337.htm
338,Ricota de leche entera,Lacteos,,Lacteos,100,g,168,11.6,4,11.8,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/338.htm
339,Yogur entero natural,Lacteos,,Lacteos,100,g,66,4.6,5.3,3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/339.htm
34,"Trigo, harina integral",Cereales y tuberculos,,Cereales y tuberculos,100,g,308,11.4,58.8,3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/34.htm
340,Yogur entero saborizado,Lacteos,,Lacteos,100,g,88,4.4,12.4,2.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/340.htm
341,Yogur descremado,Lacteos,,Lacteos,100,g,59,4.3,5.9,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/341.htm
342,Yogur entero bebible,Lacteos,,Lacteos,100,g,82,2.8,12.7,2.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/342.htm
343,Yogur descremado bebible,Lacteos,,Lacteos,100,g,30,3.3,4.1,0.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/343.htm
344,"Huevo de gallina, entero, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,156,12,0.4,11.8,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/344.htm
345,"Huevo de gallina, clara, cruda",Proteinas de origen animal,,Proteinas de origen animal,100,g,48,11.6,0,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/345.htm
346,"Huevo de gallina, yema, cruda",Proteinas de origen animal,,Proteinas de origen animal,100,g,325,16.6,0.07,28.7,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/346.htm
347,"Huevo de gallina, clara, cocido",Proteinas de origen animal,,Proteinas de origen animal,100,g,54,12.8,0.02,0.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/347.htm
348,"Huevo de gallina, frito",Proteinas de origen animal,,Proteinas de origen animal,100,g,196,16.3,0.08,14.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/348.htm
349,"Huevo de gallina, poché",Proteinas de origen animal,,Proteinas de origen animal,100,g,152,13.4,0.07,10.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/349.htm
35,"Trigo, salvado",Cereales y tuberculos,,Cereales y tuberculos,100,g,171,16.3,14,5.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/35.htm
